trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-75.3668797011045,"{0: 20, 1: 4, 2: 5, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-43.6096432025518,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",35,0,-164.33200723855973,"{0: 20, 1: 4, 2: 9, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-229.2951438546637,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 5}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-54.66006932485011,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-58.82279998416026,"{0: 10, 1: 7, 2: 3, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",35,0,-164.34220822690565,"{0: 20, 1: 5, 2: 8, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,5.797094739352963,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,2,-113.75674890652215,"{0: 19, 1: 4, 2: 3, 3: 0, 4: 2}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-87.83641063063348,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,5,-23.059485742694953,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-138.99712859909022,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-88.45509449239078,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-188.16207344448512,"{0: 20, 1: 0, 2: 5, 3: 2, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,8,-3.377906138406872,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-69.1761708611091,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,16,6.586782845126988,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,13,-29.73359983466677,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,7,-49.09148119762744,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,13,12.00526572569575,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,0,-0.9510563637731095,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",30,14,18.155074825338126,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,8,-16.563729429054135,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",20,7,-85.79910400702708,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 2}",1
5,True,"{'a': 0, 'e': 0}",35,24,-31.056614112381425,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",20,2,1.2178271738240778,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,0,-91.09528554201825,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",20,0,-107.7229793783543,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",1
9,True,"{'a': 0, 'e': 0}",30,20,18.622300248828708,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,0,-101.74607732134663,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 3}",0
