trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.005, 'e': 1.0}",20,0,-116.9759945002691,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
2,False,"{'a': 0.005, 'e': 0.9950124791926823}",20,0,-75.02465038975917,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.005, 'e': 0.9900498337491681}",25,0,-220.77001529318966,"{0: 11, 1: 3, 2: 6, 3: 2, 4: 3}",0
4,False,"{'a': 0.005, 'e': 0.9851119396030626}",20,0,-137.56250568734342,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
5,False,"{'a': 0.005, 'e': 0.9801986733067553}",20,0,-128.61719481321788,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
6,False,"{'a': 0.005, 'e': 0.9753099120283326}",25,0,-147.9642681645684,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
7,False,"{'a': 0.005, 'e': 0.9704455335485082}",30,0,-276.1707082215385,"{0: 14, 1: 3, 2: 6, 3: 3, 4: 4}",0
8,False,"{'a': 0.005, 'e': 0.9656054162575665}",20,6,-102.93208316290465,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 2}",1
9,False,"{'a': 0.005, 'e': 0.9607894391523232}",25,0,-112.92467137638218,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
10,False,"{'a': 0.005, 'e': 0.9559974818331}",20,0,-81.80221260563705,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
11,False,"{'a': 0.005, 'e': 0.951229424500714}",20,13,-12.884210321849531,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
12,False,"{'a': 0.005, 'e': 0.9464851479534838}",20,0,-57.346630953730994,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
13,False,"{'a': 0.005, 'e': 0.9417645335842487}",25,0,-67.45107863046077,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
14,False,"{'a': 0.005, 'e': 0.9370674633774034}",20,0,-127.15541346870343,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
15,False,"{'a': 0.005, 'e': 0.9323938199059483}",25,0,-117.79714946602105,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
16,False,"{'a': 0.005, 'e': 0.9277434863285529}",30,0,-171.22359356525286,"{0: 17, 1: 3, 2: 7, 3: 1, 4: 2}",0
17,False,"{'a': 0.005, 'e': 0.9231163463866358}",20,0,-64.05091856731045,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.005, 'e': 0.9185122844014574}",35,0,-57.64909559572221,"{0: 29, 1: 1, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.005, 'e': 0.9139311852712282}",20,0,-120.40814276834716,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
20,False,"{'a': 0.005, 'e': 0.9093729344682314}",20,0,-143.99944446443243,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
21,False,"{'a': 0.005, 'e': 0.9048374180359595}",25,4,-42.37559390508757,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 1}",1
22,False,"{'a': 0.005, 'e': 0.9003245225862656}",20,0,-48.261217322392284,"{0: 12, 1: 6, 2: 1, 3: 1, 4: 0}",0
23,False,"{'a': 0.005, 'e': 0.8958341352965282}",20,0,-57.283945053071015,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
24,False,"{'a': 0.005, 'e': 0.8913661439068313}",25,0,-75.23936984180413,"{0: 14, 1: 5, 2: 5, 3: 1, 4: 0}",0
25,False,"{'a': 0.005, 'e': 0.8869204367171575}",20,0,-83.62940778962657,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
26,False,"{'a': 0.005, 'e': 0.8824969025845955}",30,0,-75.54095513001516,"{0: 21, 1: 2, 2: 5, 3: 2, 4: 0}",0
27,False,"{'a': 0.005, 'e': 0.8780954309205613}",20,0,-146.20739444989385,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
28,False,"{'a': 0.005, 'e': 0.8737159116880344}",30,0,-211.76895496245152,"{0: 17, 1: 1, 2: 7, 3: 2, 4: 3}",0
29,False,"{'a': 0.005, 'e': 0.8693582353988059}",35,0,-184.1998164557681,"{0: 19, 1: 5, 2: 8, 3: 1, 4: 2}",0
30,False,"{'a': 0.005, 'e': 0.8650222931107413}",35,0,-189.70816298743415,"{0: 21, 1: 2, 2: 8, 3: 2, 4: 2}",0
31,False,"{'a': 0.005, 'e': 0.8607079764250578}",30,0,-62.821760378051586,"{0: 21, 1: 3, 2: 5, 3: 1, 4: 0}",0
32,False,"{'a': 0.005, 'e': 0.8564151774836135}",20,16,10.388485774868073,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.005, 'e': 0.8521437889662113}",25,16,1.8299530052085904,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.005, 'e': 0.8478937040879159}",20,0,-110.46775531875143,"{0: 8, 1: 6, 2: 5, 3: 0, 4: 1}",0
35,False,"{'a': 0.005, 'e': 0.8436648165963837}",25,0,-162.13822865380533,"{0: 13, 1: 0, 2: 8, 3: 3, 4: 1}",0
36,False,"{'a': 0.005, 'e': 0.8394570207692074}",35,0,-171.67131426699154,"{0: 22, 1: 1, 2: 9, 3: 1, 4: 2}",0
37,False,"{'a': 0.005, 'e': 0.835270211411272}",35,0,-141.08153872490277,"{0: 23, 1: 2, 2: 8, 3: 0, 4: 2}",0
38,False,"{'a': 0.005, 'e': 0.8311042838521256}",25,0,-195.13888666510255,"{0: 13, 1: 1, 2: 8, 3: 0, 4: 3}",0
39,False,"{'a': 0.005, 'e': 0.8269591339433623}",20,0,-73.88426987454983,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
40,False,"{'a': 0.005, 'e': 0.8228346580560184}",25,0,-75.04772581547473,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
41,False,"{'a': 0.005, 'e': 0.8187307530779818}",20,0,-139.96599577403236,"{0: 9, 1: 3, 2: 4, 3: 3, 4: 1}",0
42,False,"{'a': 0.005, 'e': 0.8146473164114145}",30,10,-188.821677677114,"{0: 10, 1: 0, 2: 6, 3: 1, 4: 3}",1
43,False,"{'a': 0.005, 'e': 0.8105842459701871}",25,5,4.8125202164327465,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",1
