trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-136.53278538936686,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-129.68451533110212,"{0: 7, 1: 6, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-144.62228975547427,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-120.50971586089285,"{0: 12, 1: 3, 2: 8, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-134.22607772803292,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-53.60526529499709,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-162.76737019112247,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.55785421166193,"{0: 13, 1: 2, 2: 2, 3: 3, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-116.18077755264466,"{0: 16, 1: 7, 2: 6, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-190.24405748682915,"{0: 11, 1: 4, 2: 6, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-83.56487194162628,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-127.99513770568777,"{0: 20, 1: 5, 2: 2, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.29672542407779,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-100.0878786191307,"{0: 10, 1: 1, 2: 8, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-214.714062366495,"{0: 12, 1: 3, 2: 6, 3: 0, 4: 4}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-177.57338395564685,"{0: 9, 1: 2, 2: 4, 3: 3, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",35,5,-195.32697988227386,"{0: 18, 1: 4, 2: 2, 3: 3, 4: 3}",1
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-168.8882744935024,"{0: 14, 1: 5, 2: 8, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-53.62016031642452,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-111.56022229770797,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-105.59862838652485,"{0: 12, 1: 5, 2: 7, 3: 1, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-75.37474638008784,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-83.77718420678197,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-214.71684099300919,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 4}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-60.498639874543855,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-61.79892311289925,"{0: 18, 1: 5, 2: 1, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-142.91896968758144,"{0: 12, 1: 3, 2: 8, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-178.5240192687988,"{0: 15, 1: 5, 2: 7, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-44.419706134014476,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-175.3010827855687,"{0: 13, 1: 6, 2: 2, 3: 1, 4: 3}",0
