trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,14,-24.646256155785355,"{0: 4, 1: 0, 2: 1, 3: 1, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-83.26343143290724,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-84.50848898937083,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-181.37102218013396,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-69.97505742419557,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-108.27578252819445,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-52.24481129993655,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-145.065995001818,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-180.6620795665063,"{0: 15, 1: 2, 2: 3, 3: 2, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,9,-57.5754932337165,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-166.84467477700443,"{0: 12, 1: 8, 2: 2, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-56.42193418804081,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-127.45650563740227,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-76.60574629691084,"{0: 18, 1: 6, 2: 5, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-135.4568531458639,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-95.12822157654026,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-172.24829125385625,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-180.1816329797317,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-96.23467854543932,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-172.79812864809156,"{0: 12, 1: 3, 2: 1, 3: 0, 4: 4}",0
1,True,"{'a': 0, 'e': 0}",20,0,-138.39692597308962,"{0: 10, 1: 0, 2: 7, 3: 2, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,0,-71.76199043850724,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",20,0,-105.17840077660816,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",30,0,-236.0513413062577,"{0: 13, 1: 8, 2: 4, 3: 2, 4: 3}",0
5,True,"{'a': 0, 'e': 0}",20,0,-50.318380138158346,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,0,-140.10604794751697,"{0: 14, 1: 0, 2: 8, 3: 2, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,0,-46.53423775064721,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",30,0,-178.72551286632844,"{0: 20, 1: 3, 2: 3, 3: 0, 4: 4}",0
9,True,"{'a': 0, 'e': 0}",20,0,-151.6898764267439,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",20,0,-95.8889371027301,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
